University Code,University Name,Rating,Course Code,Course Name,Fee,Grade,Level,Tag
2,University of Karachi,1,48,B.ED - Education [teacher],31000,46,Bachelor,Education
2,University of Karachi,1,49,BS - English,31000,77.55,Bachelor,English Literature
2,University of Karachi,1,50,BS - Environmental Studies,63000,59.09,Bachelor,Environmental Studies
2,University of Karachi,1,51,BS - Financial Mathematics,47500,50.82,Bachelor,Financial Mathematics
2,University of Karachi,1,52,BFA - Fine Arts,null,null,Bachelor,Fine Arts
2,University of Karachi,1,53,BS - Food Science & Technology,39000,66.09,Bachelor,Food Science
2,University of Karachi,1,54,BS - Genetics,34500,75.55,Bachelor,Genetics
2,University of Karachi,1,55,BS - Geography,34500,45.36,Bachelor,Geography
2,University of Karachi,1,56,BS - Geology,34500,45.27,Bachelor,Geology
2,University of Karachi,1,57,BA [HONS] - History,28500,46.73,Bachelor,History
2,University of Karachi,1,58,BS - Human Diet & Nutrition,47500,80.73,Bachelor,Nutrition
2,University of Karachi,1,59,BS - Human Resources Management,null,null,Bachelor,Human Resources
2,University of Karachi,1,60,BS - International Relations,31000,79.91,Bachelor,International Relations
2,University of Karachi,1,61,BS - Islamic Banking & Finance,null,null,Bachelor,Islamic Banking
2,University of Karachi,1,62,BA [HONS] - Islamic History,23500,45.09,Bachelor,Islamic History
2,University of Karachi,1,63,BS - Islamic Learning,23500,45.09,Bachelor,Islamic Studies
2,University of Karachi,1,64,BS - Islamic Studies,23500,45.09,Bachelor,Islamic Studies
2,University of Karachi,1,65,LLB - Law (3 Years),84000,null,Bachelor,Law
2,University of Karachi,1,66,LLB - Law (5 Years),84000,null,Bachelor,Law
2,University of Karachi,1,67,BLS - Library & Information Science,28500,56.18,Bachelor,Library Science
2,University of Karachi,1,68,BS - Marine Sciences,34500,60.82,Bachelor,Marine Science
2,University of Karachi,1,69,BS - Mass Communication,31000,60.45,Bachelor,Mass Communication
2,University of Karachi,1,70,BS - Mathematics,34500,56.45,Bachelor,Mathematics
2,University of Karachi,1,71,BS - Medical Laboratory Technology,39000,null,Bachelor,Medical Laboratory
2,University of Karachi,1,72,BS - Microbiology,39000,79.27,Bachelor,Microbiology
2,University of Karachi,1,73,BS - Pakistan Studies,28500,66.27,Bachelor,Pakistan Studies
2,University of Karachi,1,74,BA [HONS] - Persian,23500,46.18,Bachelor,Persian
2,University of Karachi,1,75,BS - Petroleum Technology,86500,55.64,Bachelor,Petroleum Technology
2,University of Karachi,1,76,PHARM.D - Pharmacy,71000,null,Bachelor,Pharmacy
2,University of Karachi,1,77,B.Sc. [Hons] - Philosophy,23500,52,Bachelor,Philosophy
2,University of Karachi,1,78,DPT - Physical Therapy,190000,63.27,Bachelor,Physical Therapy
2,University of Karachi,1,79,BS - Physics,34500,45.27,Bachelor,Physics
2,University of Karachi,1,80,BS - Physiology,39000,70.27,Bachelor,Physiology
2,University of Karachi,1,81,BS - Political Science,28500,70.09,Bachelor,Political Science
2,University of Karachi,1,82,BS - Poultry Sciences,39000,51.82,Bachelor,Poultry Science
2,University of Karachi,1,83,BS - Psychology,31000,85.25,Bachelor,Psychology
2,University of Karachi,1,84,BPA - Public Administration,55000,57.91,Bachelor,Public Administration
2,University of Karachi,1,85,BS - Public Health,39000,64.27,Bachelor,Public Health
2,University of Karachi,1,86,BS - Public Policy,null,null,Bachelor,Public Policy
2,University of Karachi,1,87,BS - Quraan & Sunnah,23500,45.45,Bachelor,Quran & Sunnah
2,University of Karachi,1,88,BS - Sindhi,23500,67.45,Bachelor,Sindhi
2,University of Karachi,1,89,BA [HONS] - Social Work,28500,59.27,Bachelor,Social Work
2,University of Karachi,1,90,BS - Sociology,null,60,Bachelor,Sociology
2,University of Karachi,1,91,BS - Software Engineering,78500,79,Bachelor,Software Engineering
2,University of Karachi,1,92,B.Sc. [Hons] - Space Sciences,39000,49.64,Bachelor,Space Sciences
2,University of Karachi,1,93,BS - Sports Business Management,75000,59,Bachelor,Sports Business
2,University of Karachi,1,94,BS - Statistics,34500,45.27,Bachelor,Statistics
2,University of Karachi,1,95,BS - Supply Chain Management,null,null,Bachelor,Supply Chain Management
2,University of Karachi,1,96,BS - Urdu,23500,45,Bachelor,Urdu
2,University of Karachi,1,97,BS - Usuluddin [Islamic Studies],null,null,Bachelor,Islamic Studies
2,University of Karachi,1,98,BS - Women Studies,28500,45.09,Bachelor,Women Studies
2,University of Karachi,1,99,BS - Zoology,34500,69.09,Bachelor,Zoology
2,University of Karachi,1,100,MA - Administrative Sciences,null,null,Master,Administrative Sciences
2,University of Karachi,1,101,M.Sc. - Agriculture & Agribusiness Management,71000,null,Master,Agriculture
2,University of Karachi,1,102,M.Sc. - Applied Chemistry & Chemical Technology,39000,null,Master,Chemistry
2,University of Karachi,1,103,M.Sc. - Applied Mathematics,47500,null,Master,Applied Mathematics
2,University of Karachi,1,104,M.Sc. - Applied Physics,34500,null,Master,Applied Physics
2,University of Karachi,1,105,M.Sc. - Applied Statistics,null,null,Master,Applied Statistics
2,University of Karachi,1,106,MA - Arabic,null,null,Master,Arabic
2,University of Karachi,1,107,MA - Bengali,null,null,Master,Bengali
2,University of Karachi,1,108,M.Sc. - Biochemistry,39000,null,Master,Biochemistry
2,University of Karachi,1,109,M.Sc. - Biotechnology,null,null,Master,Biotechnology
2,University of Karachi,1,110,M.Sc. - Botany,34500,null,Master,Botany
2,University of Karachi,1,111,M.Sc. - Chemistry,39000,null,Master,Chemistry
2,University of Karachi,1,112,M.Com. - Commerce,null,null,Master,Commerce
2,University of Karachi,1,113,MCS - Computer Science,null,null,Master,Computer Science
2,University of Karachi,1,114,M.Sc. - Criminological Sciences,53000,null,Master,Criminology
2,University of Karachi,1,115,M.Sc. - Economics,null,null,Master,Economics
2,University of Karachi,1,116,MA - Economics & Finance,null,null,Master,Economics
2,University of Karachi,1,117,M.Ed. - Education,31000,null,Master,Education
2,University of Karachi,1,118,M.Sc. - Education [health & Physical],34500,null,Master,Education
2,University of Karachi,1,119,MA - Education [special],31000,null,Master,Education
2,University of Karachi,1,120,MA - English,null,null,Master,English Literature
2,University of Karachi,1,121,M.Sc. - Environmental Sciences,null,null,Master,Environmental Sciences
2,University of Karachi,1,122,MA - European Studies,null,null,Master,European Studies
2,University of Karachi,1,123,MA - General History,null,null,Master,General History
2,University of Karachi,1,124,M.Sc. - Genetics,null,null,Master,Genetics
2,University of Karachi,1,125,M.Sc. - Geography,null,null,Master,Geography
2,University of Karachi,1,126,M.Sc. - Geology,null,null,Master,Geology
2,University of Karachi,1,127,MA - History,null,null,Master,History
2,University of Karachi,1,128,M.Sc. - Human Resources Management,null,null,Master,Human Resources Management
2,University of Karachi,1,129,M.Sc. - Industrial & Business Mathematics,47500,null,Master,Mathematics
2,University of Karachi,1,130,MA - International Relations,null,null,Master,International Relations
2,University of Karachi,1,131,MA - Iqbalyat,null,null,Master,Iqbalyat
2,University of Karachi,1,132,MBF - Islamic Banking & Finance,null,null,Master,Islamic Banking
2,University of Karachi,1,133,MA - Islamic History,null,null,Master,Islamic History
2,University of Karachi,1,134,MA - Islamic Learning,null,null,Master,Islamic Studies
2,University of Karachi,1,135,MLS - Library & Information Science,null,null,Master,Library & Information Science
2,University of Karachi,1,136,M.Sc. - Marine Sciences,34500,null,Master,Marine Sciences
2,University of Karachi,1,137,MA - Mass Communication,null,null,Master,Mass Communication
2,University of Karachi,1,138,M.Sc. - Mathematical Sciences,null,null,Master,Mathematical Sciences
2,University of Karachi,1,139,M.Sc. - Microbiology,39000,null,Master,Microbiology
2,University of Karachi,1,140,MA - Pakistan Studies,null,null,Master,Pakistan Studies
2,University of Karachi,1,141,MA - Persian,null,null,Master,Persian
2,University of Karachi,1,142,M.Sc. - Petroleum Technology,null,null,Master,Petroleum Technology
2,University of Karachi,1,143,M.Sc. - Pharmaceutics,null,null,Master,Pharmaceutics
2,University of Karachi,1,144,M.Sc. - Pharmacognosy,null,null,Master,Pharmacognosy
2,University of Karachi,1,145,MA - Pharmacology,null,null,Master,Pharmacology
2,University of Karachi,1,146,MA - Philosophy,null,null,Master,Philosophy
2,University of Karachi,1,147,M.Sc. - Physics,34500,null,Master,Physics
2,University of Karachi,1,148,M.Sc. - Physiology,39000,null,Master,Physiology
2,University of Karachi,1,149,MA - Political Science,null,null,Master,Political Science
2,University of Karachi,1,150,MA - Population Science,null,null,Master,Population Science
2,University of Karachi,1,151,MA - Psychology,null,null,Master,Psychology
2,University of Karachi,1,152,MPA - Public Administration,null,null,Master,Public Administration
2,University of Karachi,1,153,MA - Public Policy,null,null,Master,Public Policy
2,University of Karachi,1,154,MA - Quraan & Sunnah,null,null,Master,Quran & Sunnah
2,University of Karachi,1,155,MA - Sindhi,null,null,Master,Sindhi
2,University of Karachi,1,156,MA - Social Work,null,null,Master,Social Work
2,University of Karachi,1,157,M.Sc. - Sociology,null,null,Master,Sociology
2,University of Karachi,1,158,M.Sc. - Space Sciences,null,null,Master,Space Sciences
2,University of Karachi,1,159,M.Sc. - Statistics,null,null,Master,Statistics
2,University of Karachi,1,160,M.Sc. - Supply Chain Management,null,null,Master,Supply Chain Management
2,University of Karachi,1,161,MA - Transport Management,null,null,Master,Transport Management
2,University of Karachi,1,162,MA - Urdu,null,null,Master,Urdu
2,University of Karachi,1,163,MA - Usuluddin [islamic Studies],null,null,Master,Islamic Studies
2,University of Karachi,1,164,MA - Women Studies,null,null,Master,Women Studies
2,University of Karachi,1,165,M.Sc. - Zoology,null,null,Master,Zoology
3,Iqra University,1,166,BS -Computer Sciences,null,null,Bachelor,Computer Science
3,Iqra University,1,167,BS- Software Engineering,null,null,Bachelor,Software Engineering
3,Iqra University,1,168,BS - Advertising,null,null,Bachelor,Advertising
3,Iqra University,1,169,BS - Animation,null,null,Bachelor,Animation
3,Iqra University,1,170,BS - Artificial Intelligence,102400,null,Bachelor,Artificial Intelligence
3,Iqra University,1,171,BS - Biochemistry,39000,76.45,Bachelor,Biochemistry
3,Iqra University,1,172,BBA - Business Administration,117300,null,Bachelor,Business Administration
3,Iqra University,1,173,BS - Business Analytics,117300,null,Bachelor,Business Analytics
3,Iqra University,1,174,BE - Computer Engineering,null,null,Bachelor,Computer Engineering
3,Iqra University,1,175,BS - Computer Science,102400,null,Bachelor,Computer Science
3,Iqra University,1,176,BS - Cyber Security,102400,null,Bachelor,Cyber Security
3,Iqra University,1,177,BS - Data Science,null,null,Bachelor,Data Science
3,Iqra University,1,178,BS - Digital Marketing,117300,null,Bachelor,Digital Marketing
3,Iqra University,1,179,BS - Economics & Finance,117300,null,Bachelor,Economics & Finance
3,Iqra University,1,180,B.ED - Education,31000,null,Bachelor,Education
3,Iqra University,1,181,BE - Electrical,null,null,Bachelor,Electrical Engineering
3,Iqra University,1,182,BE - Software Engineering,102400,null,Bachelor,Software Engineering
3,Iqra University,1,183,BS - English,null,null,Bachelor,English
3,Iqra University,1,184,BS - Entrepreneurship,null,null,Bachelor,Entrepreneurship
3,Iqra University,1,185,B.Sc. [Hons] - Fashion Design,null,null,Bachelor,Fashion Design
3,Iqra University,1,186,BS - Film/TV,null,null,Bachelor,Film/TV Production
3,Iqra University,1,187,BS - Finance & Accounting,117300,null,Bachelor,Finance & Accounting
3,Iqra University,1,188,BS - Human Diet & Nutrition,null,null,Bachelor,Human Diet & Nutrition
3,Iqra University,1,189,BS - Information Security,null,null,Bachelor,Information Security
3,Iqra University,1,190,BS - Entrepreneurship,117300,null,Bachelor,Entrepreneurship
3,Iqra University,1,191,BS - Media Sciences,null,null,Bachelor,Media Sciences
3,Iqra University,1,192,BS - Microbiology,39000,null,Bachelor,Microbiology
3,Iqra University,1,193,BS - Nursing,null,null,Bachelor,Nursing
3,Iqra University,1,194,PHARM.D - Pharmacy,null,null,Bachelor,Pharmacy
3,Iqra University,1,195,DPT - Physical Therapy,null,null,Bachelor,Physical Therapy
3,Iqra University,1,196,BS - Psychology,90210,null,Bachelor,Psychology
3,Iqra University,1,197,BS - Clinical Psychology,90210,null,Bachelor,Clinical Psychology
3,Iqra University,1,198,BS - Software Engineering,null,null,Bachelor,Software Engineering
3,Iqra University,1,199,BS - Telecommunication,null,null,Bachelor,Telecommunication
3,Iqra University,1,200,B.Sc. [Hons] - Textile Design,null,null,Bachelor,Textile Design
3,Iqra University,1,201,MS - Advertising,null,null,Master,Advertising
3,Iqra University,1,202,M.Phil. - Business Administration,null,null,Master,Business Administration
3,Iqra University,1,203,MBA - Business Administration,null,null,Master,Business Administration
3,Iqra University,1,204,MS - Computer Science,80050,null,Master,Computer Science
3,Iqra University,1,205,MS - Data Science,80050,null,Master,Data Science
3,Iqra University,1,206,MS - Digital Marketing,80050,null,Master,Digital Marketing
3,Iqra University,1,207,M.Phil. - Education,31000,null,Master,Education
3,Iqra University,1,208,MS - Electrical,null,null,Master,Electrical
3,Iqra University,1,209,M.Phil. - English,null,null,Master,English
3,Iqra University,1,210,MS - Entrepreneurship,null,null,Master,Entrepreneurship
3,Iqra University,1,211,MS - Film/TV,null,null,Master,Film
3,Iqra University,1,212,MSIT - Finance & Technology,80050,null,Master,Finance
3,Iqra University,1,213,MS - Human Resources Management,80050,null,Master,Human Resources
3,Iqra University,1,214,MS - Information Technology,80050,null,Master,Information
3,Iqra University,1,215,MSIT - Islamic Banking & Finance,null,null,Master,Islamic Banking
3,Iqra University,1,216,MS - Media Sciences,80050,null,Master,Media
3,Iqra University,1,217,MS - Software Engineering,80050,null,Master,Software
3,Iqra University,1,218,MS - Telecommunication,null,null,Master,Telecommunication
4,Institute of Business Management (IoBM),6,219,"BS - Accounting, Finance & Law",142480,null,Bachelor,Accounting
4,Institute of Business Management (IoBM),6,220,BS - Actuarial Sciences & Risk Management,142480,50,Bachelor,Actuarial Sciences
4,Institute of Business Management (IoBM),6,221,BBA (H) - Business Administration,142480,null,Bachelor,Business
4,Institute of Business Management (IoBM),6,222,BS - Business Psychology,142480,null,Bachelor,Business Psychology
4,Institute of Business Management (IoBM),6,223,BS - Computer Science,142480,null,Bachelor,Computer Science
4,Institute of Business Management (IoBM),6,224,BS - Data Science,142480,null,Bachelor,Data Science
4,Institute of Business Management (IoBM),6,225,BS - Economics & Finance,142480,null,Bachelor,Economics
4,Institute of Business Management (IoBM),6,226,BS - Economics & Law,142480,null,Bachelor,Economics
4,Institute of Business Management (IoBM),6,227,BS - Economics & Mathematics,142480,null,Bachelor,Economics
4,Institute of Business Management (IoBM),6,228,BS (HONS) - Education,142480,null,Bachelor,Education
4,Institute of Business Management (IoBM),6,229,BS - Education,142480,null,Bachelor,Education
4,Institute of Business Management (IoBM),6,230,BE - Electrical,142480,null,Bachelor,Electrical
4,Institute of Business Management (IoBM),6,231,BS - Entrepreneurship,142480,null,Bachelor,Entrepreneurship
4,Institute of Business Management (IoBM),6,232,BS - Finance & Accounting,142480,null,Bachelor,Finance
4,Institute of Business Management (IoBM),6,233,BS - Industrial Management,142480,null,Bachelor,Industrial
4,Institute of Business Management (IoBM),6,234,BS - International Relations,142480,null,Bachelor,International
4,Institute of Business Management (IoBM),6,235,"BS - Logistics, Supply Chain Management",142480,null,Bachelor,Logistics
4,Institute of Business Management (IoBM),6,236,BS - Mathematics,142480,null,Bachelor,Mathematics
4,Institute of Business Management (IoBM),6,237,BS - Media Studies,142480,null,Bachelor,Media
4,Institute of Business Management (IoBM),6,238,BS - Psychology,142480,null,Bachelor,Psychology
4,Institute of Business Management (IoBM),6,239,BS - Software Engineering,142480,null,Bachelor,Software
4,Institute of Business Management (IoBM),6,240,BS - Technology Management,142480,null,Bachelor,Technology
4,Institute of Business Management (IoBM),6,241,MBA - Business Administration,152830,null,Master,Business
4,Institute of Business Management (IoBM),6,242,M.Phil. - Business Management,null,null,Master,Business
4,Institute of Business Management (IoBM),6,243,M.Phil. - Computer Science,null,null,Master,Computer Science
4,Institute of Business Management (IoBM),6,244,MS - Economics,152830,null,Master,Economics
4,Institute of Business Management (IoBM),6,245,M.Phil. - Education,null,null,Master,Education
4,Institute of Business Management (IoBM),6,246,MS - Education Management,152830,null,Master,Education
4,Institute of Business Management (IoBM),6,247,MS - Electrical,152830,null,Master,Electrical
4,Institute of Business Management (IoBM),6,248,MBA - Energy & Environment,152830,null,Master,Energy
4,Institute of Business Management (IoBM),6,249,MS - Engineering Management,152830,null,Master,Engineering
4,Institute of Business Management (IoBM),6,250,M.Phil. - English,null,null,Master,English
4,Institute of Business Management (IoBM),6,251,MS - Entrepreneurship,152830,null,Master,Entrepreneurship
4,Institute of Business Management (IoBM),6,252,MBA - Finance & Risk Management,152830,null,Master,Finance
4,Institute of Business Management (IoBM),6,253,MBA - Health Care & Hospital Management,152830,null,Master,Health Care
4,Institute of Business Management (IoBM),6,254,MBA - Industrial Management,152830,null,Master,Industrial
4,Institute of Business Management (IoBM),6,255,"MBA - Logistics, Supply Chain Management",152830,null,Master,Logistics
4,Institute of Business Management (IoBM),6,256,MS - Mathematics,152830,null,Master,Mathematics
4,Institute of Business Management (IoBM),6,257,MBA - Media Management,152830,null,Master,Media Management
4,Institute of Business Management (IoBM),6,258,M.Phil. - Organizational Psychology,null,null,Master,Organizational Psychology
4,Institute of Business Management (IoBM),6,259,MS - Statistics & Scientific Computing,152830,null,Master,Statistics
5,NED University of Engineering and Technology,1,260,BS - Applied Physics,43000,55,Bachelor,Applied Physics
5,NED University of Engineering and Technology,1,261,B.ARCH - Architecture,43000,55,Bachelor,Architecture
5,NED University of Engineering and Technology,1,262,BE - Automotive Engineering,43000,55,Bachelor,Automotive Engineering
5,NED University of Engineering and Technology,1,263,BE - Bio-medical,43000,55,Bachelor,Biomedical Engineering
5,NED University of Engineering and Technology,1,264,BE - Chemical,43000,55,Bachelor,Chemical Engineering
5,NED University of Engineering and Technology,1,265,BE - Civil,43000,55,Bachelor,Civil Engineering
5,NED University of Engineering and Technology,1,266,BS - Computational Finance,43000,55,Bachelor,Computational Finance
5,NED University of Engineering and Technology,1,267,BS - Computer Science,43000,55,Bachelor,Computer Science
5,NED University of Engineering and Technology,1,268,BE - Computer System,43000,55,Bachelor,Computer Systems
5,NED University of Engineering and Technology,1,269,BE - Construction Engineering & Management,43000,55,Bachelor,Construction Engineering
5,NED University of Engineering and Technology,1,270,BS - Development Studies,43000,55,Bachelor,Development Studies
5,NED University of Engineering and Technology,1,271,BS - Economics & Finance,43000,55,Bachelor,Economics & Finance
5,NED University of Engineering and Technology,1,272,BE - Electrical,43000,55,Bachelor,Electrical Engineering
5,NED University of Engineering and Technology,1,273,BE - Electronics,43000,55,Bachelor,Electronics Engineering
5,NED University of Engineering and Technology,1,274,BS - English Linguistics,43000,55,Bachelor,English Linguistics
5,NED University of Engineering and Technology,1,275,BE - Food Engineering,43000,55,Bachelor,Food Engineering
5,NED University of Engineering and Technology,1,276,BE - Industrial & Manufacturing,43000,55,Bachelor,Industrial Engineering
5,NED University of Engineering and Technology,1,277,BS - Industrial Chemistry,43000,55,Bachelor,Industrial Chemistry
5,NED University of Engineering and Technology,1,278,BS - Management Sciences,43000,55,Bachelor,Management Sciences
5,NED University of Engineering and Technology,1,279,BE - Materials Engineering,43000,55,Bachelor,Materials Engineering
5,NED University of Engineering and Technology,1,280,BE - Mechanical,43000,55,Bachelor,Mechanical Engineering
5,NED University of Engineering and Technology,1,281,BE - Metallurgy & Materials,43000,55,Bachelor,Metallurgy & Materials
5,NED University of Engineering and Technology,1,282,BE - Petroleum,43000,55,Bachelor,Petroleum Engineering
5,NED University of Engineering and Technology,1,283,BE - Polymer & Petrochemical,43000,55,Bachelor,Polymer & Petrochemical
5,NED University of Engineering and Technology,1,284,BE - Software Engineering,43000,55,Bachelor,Software Engineering
5,NED University of Engineering and Technology,1,285,BE - Telecommunication,43000,55,Bachelor,Telecommunication
5,NED University of Engineering and Technology,1,286,BE - Textile Engineering,43000,55,Bachelor,Textile Engineering
5,NED University of Engineering and Technology,1,287,BS - Textile Science,43000,55,Bachelor,Textile Science
5,NED University of Engineering and Technology,1,288,BE - Urban & Regional Planning,43000,55,Bachelor,Urban & Regional Planning
5,NED University of Engineering and Technology,1,289,MS - Applied Linguistics,81200,null,Master,Applied Linguistics
5,NED University of Engineering and Technology,1,290,MS - Applied Mathematics,81200,null,Master,Applied Mathematics
5,NED University of Engineering and Technology,1,291,M.ARCH - Architecture,81200,null,Master,Architecture
5,NED University of Engineering and Technology,1,292,ME - Automotive Engineering,81200,null,Master,Automotive Engineering
5,NED University of Engineering and Technology,1,293,ME - Bio-medical,81200,null,Master,Biomedical Engineering
5,NED University of Engineering and Technology,1,294,ME - Chemical,81200,null,Master,Chemical Engineering
5,NED University of Engineering and Technology,1,295,MEM - Chemical & Process Management,81200,null,Master,Chemical & Process Management
5,NED University of Engineering and Technology,1,296,ME - Civil,81200,null,Master,Civil Engineering
5,NED University of Engineering and Technology,1,297,ME - Computational Sciences & Engineering,81200,null,Master,Computational Sciences
5,NED University of Engineering and Technology,1,298,ME - Computer Network & Security,81200,null,Master,Computer Network & Security
5,NED University of Engineering and Technology,1,299,MS - Computer Science & Information Technology,81200,null,Master,Computer Science & IT
5,NED University of Engineering and Technology,1,300,ME - Computer System,81200,null,Master,Computer Systems
5,NED University of Engineering and Technology,1,301,MEM - Construction Management,81200,null,Master,Construction Management
5,NED University of Engineering and Technology,1,302,ME - Control System,81200,null,Master,Control System
5,NED University of Engineering and Technology,1,303,MS - Data Science,81200,null,Master,Data Science
5,NED University of Engineering and Technology,1,304,ME - Design,81200,null,Master,Design
5,NED University of Engineering and Technology,1,305,MS - Disaster Management,81200,null,Master,Disaster Management
5,NED University of Engineering and Technology,1,306,MS - Economics & Finance,81200,null,Master,Economics & Finance
5,NED University of Engineering and Technology,1,307,ME - Electrical,81200,null,Master,Electrical Engineering
5,NED University of Engineering and Technology,1,308,ME - Electrical Power,81200,null,Master,Electrical Engineering
5,NED University of Engineering and Technology,1,309,ME - Electronics,81200,null,Master,Electronics Engineering
5,NED University of Engineering and Technology,1,310,MEM - Energy & Plant Management,81200,null,Master,Energy Management
5,NED University of Engineering and Technology,1,311,MEM - Energy Management,81200,null,Master,Energy Management
5,NED University of Engineering and Technology,1,312,MEM - Engineering Management,81200,null,Master,Engineering Management
5,NED University of Engineering and Technology,1,313,ME - Environmental Engineering,81200,null,Master,Environmental Engineering
5,NED University of Engineering and Technology,1,314,MEM - Environmental Management,81200,null,Master,Environmental Management
5,NED University of Engineering and Technology,1,315,ME - Geotechnical Engineering,81200,null,Master,Geotechnical Engineering
5,NED University of Engineering and Technology,1,316,MS - Industrial Chemistry,81200,null,Master,Industrial Chemistry
5,NED University of Engineering and Technology,1,317,ME - Industrial Electronics,81200,null,Master,Industrial Electronics
5,NED University of Engineering and Technology,1,318,MEM - Industrial Management,81200,null,Master,Industrial Management
5,NED University of Engineering and Technology,1,319,MS - Information Security,81200,null,Master,Information Security
5,NED University of Engineering and Technology,1,320,ME - Manufacturing,81200,null,Master,Manufacturing Engineering
5,NED University of Engineering and Technology,1,321,ME - Materials Engineering,81200,null,Master,Materials Engineering
5,NED University of Engineering and Technology,1,322,ME - Mechanical,81200,null,Master,Mechanical Engineering
5,NED University of Engineering and Technology,1,323,ME - Mechatronics,81200,null,Master,Mechatronics Engineering
5,NED University of Engineering and Technology,1,324,ME - Petroleum,81200,null,Master,Petroleum Engineering
5,NED University of Engineering and Technology,1,325,MS - Physics,81200,null,Master,Physics
5,NED University of Engineering and Technology,1,326,ME - Polymer,81200,null,Master,Polymer Engineering
5,NED University of Engineering and Technology,1,327,MEM - Quality Management,81200,null,Master,Quality Management
5,NED University of Engineering and Technology,1,328,MS - Real State Management,81200,null,Master,Real Estate Management
5,NED University of Engineering and Technology,1,329,ME - Renewable Energy Engineering,81200,null,Master,Renewable Energy Engineering
5,NED University of Engineering and Technology,1,330,ME - Structural Earthquake Engineering,81200,null,Master,Structural Engineering
